codgeo;libgeo;an;pop65p
02435;Logny-lès-Aubenton;2022;19
02438;Longpont;2022;59
02439;Les Septvallons;2022;166
02440;Lor;2022;36
02441;Louâtre;2022;46
02442;Loupeigne;2022;24
02443;Lucy-le-Bocage;2022;38
02444;Lugny;2022;34
02445;Luzoir;2022;73
02446;Ly-Fontaine;2022;15
02447;Maast-et-Violaine;2022;19
02448;Mâchecourt;2022;27
02449;Macogny;2022;11
02450;Macquigny;2022;57
02451;Magny-la-Fosse;2022;29
02452;Maissemy;2022;43
02453;Maizy;2022;68
02454;La Malmaison;2022;58
02455;Malzy;2022;39
02456;Manicamp;2022;87
02457;Marchais;2022;74
02458;Dhuys et Morin-en-Brie;2022;155
02459;Marcy;2022;50
02460;Marcy-sous-Marle;2022;48
02461;Marest-Dampcourt;2022;59
02462;Mareuil-en-Dôle;2022;33
02463;Marfontaine;2022;14
02464;Margival;2022;76
02465;Marigny-en-Orxois;2022;82
02466;Marizy-Sainte-Geneviève;2022;22
02467;Marizy-Saint-Mard;2022;8
02468;Marle;2022;546
02469;Marly-Gomont;2022;109
02470;Martigny;2022;91
02471;Martigny-Courpierre;2022;18
02472;Mauregny-en-Haye;2022;79
02473;Mayot;2022;25
02474;Mennessis;2022;66
02476;Mennevret;2022;128
02477;Mercin-et-Vaux;2022;256
02478;Merlieux-et-Fouquerolles;2022;43
02480;Mesbrecourt-Richecourt;2022;52
02481;Mesnil-Saint-Laurent;2022;124
02482;Meurival;2022;9
02483;Mézières-sur-Oise;2022;117
02484;Mézy-Moulins;2022;106
02485;Missy-aux-Bois;2022;21
02486;Missy-lès-Pierrepont;2022;21
02487;Missy-sur-Aisne;2022;156
02488;Molain;2022;38
02489;Molinchart;2022;46
